Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.45,8.41,1.58,8.4,9.99,0.0,26.06,0.0,5.093648037738897e-12,8.675209673502179e-12,1.913903424406054e-12,0.1631831822609127
0.9,17.8,2.22,13.51,15.52,0.0,19.64,0.0,1.140898344701181e-11,1.0909014022486102e-11,2.8458363204905863e-12,0.10832963481182235
1.35,26.0,2.35,16.7,20.76,0.0,12.17,0.0,1.622790222232038e-11,1.1867945010633258e-11,2.9335054017271457e-12,0.07850707942097244
1.8,30.9,2.22,18.72,21.37,0.0,4.5,0.0,1.7190713743595106e-11,1.0420489049936305e-11,2.4701219748078404e-12,0.0624034789530886
2.25,34.7,1.82,19.9,19.92,0.0,2.1,0.0,1.7343066378882025e-11,8.561608836618257e-12,1.8192726691392094e-12,0.04555711568091748
2.69,38.8,1.81,20.61,18.76,0.0,1.13,0.0,1.813679841739045e-11,7.237429990156841e-12,1.6921445946122018e-12,0.040519227435303395
3.14,42.5,1.57,20.73,17.36,0.0,0.54,0.0,1.8642221632137032e-11,5.9904638907212305e-12,1.377331198233183e-12,0.03208669819238142
3.59,45.6,1.59,20.61,16.32,0.0,0.37,0.0,1.87708825191424e-11,5.036688277471252e-12,1.309022070413878e-12,0.03028632571167414
4.04,48.8,1.83,20.38,15.37,0.0,0.18,0.0,1.9103270871988535e-11,4.279295436245712e-12,1.4327453153991403e-12,0.032572086142743886
4.49,51.8,1.91,19.9,14.49,0.0,0.1,0.0,1.9367012521143487e-11,3.6160315779871725e-12,1.428223703296682e-12,0.03202712202452552
4.94,54.8,2.19,19.43,13.72,0.0,0.05,0.0,1.9700789147616946e-11,3.094118282413009e-12,1.5746251180029603e-12,0.03471185822511392
5.39,56.6,2.73,18.84,13.04,0.0,0.03,0.0,1.926165287967651e-11,2.6453320916483245e-12,1.8581029103009492e-12,0.04189483871363524
5.84,58.4,3.27,18.25,12.45,0.0,0.01,0.0,1.8926151053368918e-11,2.2783330448775546e-12,2.119469655634122e-12,0.04863503273368608
6.29,58.5,3.95,17.65,11.93,0.0,0.01,0.0,1.7632363950822076e-11,1.9716970755795593e-12,2.3811226531879385e-12,0.05864831465018272
6.74,57.7,4.07,17.06,11.48,0.0,0.0,0.0,1.6008151457377393e-11,1.7162609359396558e-12,2.2583423373145928e-12,0.06126788704839636
7.19,57.3,3.94,16.47,11.08,0.0,0.0,0.0,1.4798912705054496e-11,1.4993409043220117e-12,2.0351733353547895e-12,0.0597249653996095
