Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.25,20.9,3.4,-0.22,17.33,0.0,276.94,0.0,5.6624192065904637e-11,1.9459719437226578e-11
0.83,40.0,3.29,-1.8,34.96,0.0,168.99,0.0,6.247285378236976e-11,2.373424929902144e-11
1.38,51.5,2.96,-1.55,51.34,0.0,141.01,0.0,6.228519472317068e-11,3.089297046579917e-11
1.85,67.9,3.45,5.01,61.73,0.0,81.24,0.0,8.076389862825119e-11,3.381615762514089e-11
2.68,80.2,2.93,12.54,60.49,0.0,46.01,0.0,7.777918665745182e-11,2.402495678059893e-11
3.19,83.3,3.08,16.68,63.17,0.0,41.4,0.0,7.049345143358475e-11,2.3096361969610596e-11
3.68,91.4,2.83,20.19,65.14,0.0,30.23,0.0,7.356886020966804e-11,2.2273716662873185e-11
4.13,102.0,5.4,22.31,66.32,0.0,24.2,0.0,8.163938918340999e-11,2.1162424515213326e-11
5.23,105.0,4.21,25.63,64.52,0.0,9.48,0.0,6.831661887536089e-11,1.69680021857133e-11
6.05,109.0,2.1,27.28,60.09,0.0,3.57,0.0,6.364247726284278e-11,1.3657353417508061e-11
6.81,108.0,2.1,28.58,55.74,0.0,2.78,0.0,5.550726819104034e-11,1.1279864010802012e-11
7.56,109.0,2.1,30.7,53.61,0.0,2.04,0.0,5.093081844447075e-11,1.0200335882507341e-11
8.32,110.0,2.1,33.83,51.18,0.0,1.21,0.0,4.713152573139569e-11,9.559383930557294e-12
9.09,111.0,2.33,35.49,49.08,0.0,0.72,0.0,4.392699849461218e-11,8.7845558128301e-12
9.86,112.0,4.74,33.74,46.34,0.0,0.0,0.0,4.122954910067308e-11,7.270669930977524e-12
